type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
Movie,West Beirut,"France, Norway, Lebanon, Belgium","October 19, 2020",1999,TV-MA,106 min,"Dramas, International Movies",three intrepid teen roam street beirut midst civil war film super 8 camera reckon pain grow,Adults
Movie,What Did I Mess,Lebanon,"October 19, 2020",2018,TV-14,98 min,"Comedies, International Movies, Romantic Movies",attempt get ex propos nayla host gather introduc new suitor parti turn hellish occas,Teens
Movie,Whispers,"Lebanon, Canada, France","October 19, 2020",1980,TV-14,93 min,"Documentaries, International Movies",home devast war lebanes poet take crosscountri road trip look glimmer hope nostalg memori vers,Teens
Movie,Zozo,"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands","October 19, 2020",2005,TV-MA,99 min,"Dramas, International Movies",lebanon civil war depriv zozo famili he left grief littl mean escap sweden search grandpar,Adults
Movie,ParaNorman,United States,"October 18, 2020",2012,PG,93 min,"Children & Family Movies, Comedies",armi zombi invad small town odd local boy knack commun dead save day,Older Kids
TV Show,Start-Up,South Korea,"October 18, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",young entrepreneur aspir launch virtual dream realiti compet success love cutthroat world korea hightech industri,Teens
Movie,I Am Vengeance: Retaliation,United Kingdom,"October 17, 2020",2020,R,82 min,Action & Adventure,clear crimin record exspeci forc soldier agre lead team retriev doublecross mercenari deliv justic,Adults
Movie,Disconnect,Kenya,"October 16, 2020",2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",group singleton stumbl wild date scene nairobi two friend wonder relationship platon,Adults
TV Show,Grand Army,United States,"October 16, 2020",2020,TV-MA,1 Season,"TV Dramas, Teen TV Shows",five student largest public high school brooklyn take chaotic world fight succeed surviv break free seiz futur,Adults
Movie,In a Valley of Violence,United States,"October 16, 2020",2016,R,104 min,Action & Adventure,quiet drifter met violenc bulli small town find enmesh veng struggl local marshal,Adults
TV Show,La Révolution,France,"October 16, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",reimagin histori mysteri diseas beset 18th centuri franc culmin brutal clash rebel aristocraci,Adults
TV Show,Someone Has to Die,"Mexico, Spain","October 16, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",conserv 1950 spain alleg relationship young man mexican ballerino creat uproar harrow consequ,Adults
TV Show,The Last Kids on Earth,United States,"October 16, 2020",2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies",zombi monster invad hometown scrappi 13yearold orphan team friend hope surviv chao,Older Kids
Movie,The Trial of the Chicago 7,"United States, United Kingdom, India","October 16, 2020",2020,R,130 min,Dramas,suppos peac protest turn violent clash polic follow one notori trial histori,Adults
Movie,Unfriended,"United States, Russia","October 16, 2020",2014,R,83 min,"Horror Movies, Thrillers",six teen whose cyberbulli drove classmat kill becom target onlin stalker lethal agenda,Adults
Movie,A Babysitter's Guide to Monster Hunting,United States,"October 15, 2020",2020,TV-PG,99 min,Children & Family Movies,recruit secret societi babysitt high schooler battl boogeyman monster nab boy she watch halloween,Older Kids
Movie,Batman: The Killing Joke,United States,"October 15, 2020",2016,R,77 min,Action & Adventure,joker make life hell gordon famili monstrou attempt prove batman one bad day drive good man mad,Adults
Movie,El-Khawaga's Dilemma,Egypt,"October 15, 2020",2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies",car crash spark fli financi struggl man daughter busi tycoon unravel dark secret loos end,Teens
TV Show,Fireman Sam,United Kingdom,"October 15, 2020",2018,TV-Y,4 Seasons,"British TV Shows, Kids' TV",share valuabl lesson fire safeti preschool fireman sam anim crew pontypandi wale readi emerg,Kids
TV Show,Half & Half,United States,"October 15, 2020",2005,TV-14,4 Seasons,TV Comedies,two estrang halfsist twenti find live suddenli entwin grow closer get know,Teens
Movie,Kartini: Princess of Java,"Indonesia, Netherlands","October 15, 2020",2017,TV-PG,118 min,"Dramas, International Movies",woman nobil battl patriarch norm order improv educ access women earli 1900 indonesian societi,Older Kids
Movie,Love Like the Falling Rain,Indonesia,"October 15, 2020",2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies",fear reject young man struggl declar feel best friend soon fall anoth man fate incid,Teens
TV Show,One on One,United States,"October 15, 2020",2006,TV-14,5 Seasons,"TV Comedies, Teen TV Shows",exwif land job abroad athleteturnedsportscast flex washington assum fulltim custodi teenag daughter breanna,Teens
TV Show,Power Rangers Beast Morphers,United States,"October 15, 2020",2020,TV-Y7,2 Seasons,Kids' TV,new breed secret agent must stop ruthless comput viru minion steal unlimit clean energi sourc creat,Older Kids
Movie,Rooting for Roona,India,"October 15, 2020",2020,TV-PG,42 min,"Documentaries, International Movies",rural india child hydrocephalu get chanc lifechang surgeri photo go viral documentari chart journey,Older Kids
TV Show,Social Distance,United States,"October 15, 2020",2020,TV-MA,1 Season,"TV Comedies, TV Dramas",film isol narr antholog seri featur dark funni take peopl strive stay connect stay apart,Adults
Movie,A Choo,Taiwan,"October 14, 2020",2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies",determin win heart childhood crush orphanag ej becom boxer superpow soon confront formid villain,Teens
Movie,BLACKPINK: Light Up the Sky,United States,"October 14, 2020",2020,TV-14,80 min,"Documentaries, Music & Musicals",recordshatt korean girl band blackpink tell stori detail hardfought journey dream trial behind meteor rise,Teens
Movie,The Three Deaths of Marisela Escobedo,Mexico,"October 14, 2020",2020,TV-MA,110 min,"Documentaries, International Movies",documentari examin mother tireless crusad jail daughter murder mexico justic system fail,Adults
Movie,Fida,India,"October 13, 2020",2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers",allaround nice guy find danger situat make ultim sacrific woman love drama,Teens
Movie,Octonauts & the Great Barrier Reef,United Kingdom,"October 13, 2020",2020,TV-Y,47 min,Children & Family Movies,music special octonaut must find way hold back hungri swarm coral starfish save new friend fragil reef home,Kids
TV Show,The Cabin with Bert Kreischer,United States,"October 13, 2020",2020,TV-MA,1 Season,"Reality TV, TV Comedies",fastliv comic bert kreischer head cabin selfcar invit funni friend join quest cleans mind bodi soul,Adults
Movie,Dil,India,"October 12, 2020",1990,TV-14,165 min,"Comedies, Dramas, International Movies",miser scheme set son millionair daughter backfir two actual fall love sli charad reveal,Teens
Movie,Disco Dancer,India,"October 12, 2020",1982,TV-14,134 min,"Cult Movies, Dramas, International Movies",poor boy grow famou disco dancer hope use art exact reveng millionair frame mother theft,Teens
Movie,Hunterrr,India,"October 12, 2020",2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies",sexobsess young man tri put past behind fall extraordinari woman make want chang lifestyl,Adults
TV Show,Kipo and the Age of Wonderbeasts,United States,"October 12, 2020",2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies",make way world mutant anim shelter yet scrappi girl learn surviv get home help ragtag crew,Older Kids
Movie,Phir Hera Pheri,India,"October 12, 2020",2006,TV-14,150 min,"Comedies, International Movies",driven greed three rich friend seek doubl wealth find indebt ruthless gangster,Teens
Movie,The Legend of Bhagat Singh,India,"October 12, 2020",2002,TV-14,156 min,"Dramas, International Movies",biopic chronicl life time icon indian revolutionari bhagat singh led arm resist british 1920,Teens
Movie,House of the Witch,United States,"October 11, 2020",2017,TV-MA,86 min,Horror Movies,group dare teen find fight live insid haunt hous sinist spirit crash halloween parti,Adults
TV Show,Deaf U,United States,"October 9, 2020",2020,TV-MA,1 Season,Docuseries,realiti seri tightknit group deaf hard hear student share stori explor life gallaudet univers,Adults
Movie,Ginny Weds Sunny,India,"October 9, 2020",2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies",eager marri constantli reject women bachelor hope win former crush accept help unlik sourc mother,Adults
Movie,My Step Dad: The Hippie,"Turkey, South Korea","October 9, 2020",2018,TV-MA,100 min,"Comedies, International Movies",three adult sibl meet offbeat man widow mom fawn take drastic action stop ever get marri,Adults
Movie,Super Monsters: Dia de los Monsters,Canada,"October 9, 2020",2020,TV-Y,25 min,Children & Family Movies,super monster celebr día de lo muerto vida hometown magic famili new monster friend spooktacular parad,Kids
Movie,The Forty-Year-Old Version,United States,"October 9, 2020",2020,R,124 min,"Comedies, Dramas, Independent Movies",desper breakthrough near big 40 struggl new york citi playwright radha find inspir reinvent rapper,Adults
TV Show,The Haunting of Bly Manor,United States,"October 9, 2020",2020,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",dead doesnt mean gone au pair plung abyss chill secret gothic romanc creator haunt hill hous,Adults
Movie,Bigflo & Oli: Hip Hop Frenzy,France,"October 8, 2020",2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals",go backstag french rap duo bigflo oli intim music documentari join superstar sibl embark major tour,Adults
TV Show,Do Do Sol Sol La La Sol,South Korea,"October 8, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",richestorag pianist lose everyth smile guid twinkl littl star small town find hope home love,Teens
Movie,Palermo Hollywood,Argentina,"October 8, 2020",2004,TV-MA,106 min,"Dramas, International Movies",pair petti crimin differ background get tangl gangster kidnap scheme goe awri,Adults
TV Show,Private Lives,South Korea,"October 8, 2020",2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",world data longer privat con artist uncov sinist surveil scheme head govern greedi corpor,Teens
TV Show,The 100,"United States, Canada","October 8, 2020",2020,TV-MA,7 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",centuri earth devast nuclear apocalyps 100 space station resid sent planet determin whether habit,Adults
Movie,Hubie Halloween,United States,"October 7, 2020",2020,PG-13,104 min,"Comedies, Horror Movies",hubi popular guy salem mass halloween turn truli spooki goodheart scaredycat set keep town safe,Teens
TV Show,To the Lake,Russia,"October 7, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",face end civil terrifi plagu strike group risk live love human brutal struggl surviv,Adults
Movie,American Pie 9: Girls' Rules,United States,"October 6, 2020",2020,R,96 min,Comedies,four tightknit high school senior vow turn love live around homecom arriv new student muddl plan,Adults
Movie,Dolly Parton: Here I Am,United Kingdom,"October 6, 2020",2019,TV-14,90 min,"Documentaries, Music & Musicals",dolli parton lead move music journey documentari detail peopl place help shape icon career,Teens
Movie,StarBeam: Halloween Hero,Canada,"October 6, 2020",2020,TV-Y,33 min,Children & Family Movies,greedi captain fishbeard steal everybodi halloween treat starbeam boost trick sleev save day,Kids
Movie,Walk Away from Love,United States,"October 6, 2020",2017,TV-14,81 min,"Dramas, Romantic Movies",heartbroken last relationship attorney wari fall love cross path ex upend plan final move,Teens
TV Show,Bad Boy Billionaires: India,India,"October 5, 2020",2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows",investig docuseri explor greed fraud corrupt built ultim brought india infam tycoon,Teens
Movie,David Attenborough: A Life on Our Planet,"United States, United Kingdom","October 4, 2020",2020,PG,84 min,Documentaries,broadcast recount life evolutionari histori life earth griev loss wild place offer vision futur,Older Kids
Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Canada,"October 3, 2020",2020,TV-MA,44 min,"Documentaries, LGBTQ Movies",unseen footag last tabl read documentari take insid look final season acclaim comedi seri schitt creek,Adults
Movie,Good Game: The Beginning,Turkey,"October 3, 2020",2018,TV-14,115 min,"Dramas, International Movies, Sports Movies",new high school grad avid gamer cenk recruit intens esport team train tournament lifechang prize,Teens
TV Show,Pat a Pat Como,United States,"October 3, 2020",2016,TV-Y,1 Season,Kids' TV,como friend new adventur lesson import consider take care one anoth,Kids
TV Show,Qurious Como,United States,"October 3, 2020",2017,TV-Y,1 Season,Kids' TV,shrunk size como friend examin wonderfil world around one item time food household good,Kids
Movie,A Chaster Marriage,Turkey,"October 2, 2020",2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies",forc wed childhood friend man obsess footbal attempt get rid wife order keep woman truli love,Teens
Movie,A Go! Go! Cory Carson Halloween,United States,"October 2, 2020",2020,TV-Y,22 min,Children & Family Movies,cori chrissi freddi hunt kingsiz candi bar halloween treat worth trek spooki side town,Kids
